min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.55,0.75,0.25,mid,6,3.0,4.0,True,0.048835857242683745,0.08661980419988025,-0.075567893914393,79,0.24050632911392406,1.276077038592584
0.25,0.6,0.75,0.25,mid,6,3.0,4.5,True,0.04817383607080877,0.08219039159991204,-0.06803311105820653,53,0.24528301886792453,1.3690137777710605
0.25,0.6,0.75,0.25,mid,6,3.5,4.5,True,0.04817383607080877,0.08219039159991204,-0.06803311105820653,53,0.24528301886792453,1.3690137777710605
0.25,0.6,0.7,0.25,mid,8,3.5,4.5,True,0.046396518732220116,0.07304142547493098,-0.05328981348542172,46,0.2608695652173913,1.3950095868618033
0.25,0.6,0.7,0.25,mid,8,3.0,4.5,True,0.046396518732220116,0.07304142547493098,-0.05328981348542172,46,0.2608695652173913,1.3950095868618033
0.3,0.55,0.75,0.25,edge,6,3.0,4.0,True,0.046214530721283564,0.07108623369994582,-0.049743405957324516,41,0.24390243902439024,1.4197086438882736
0.3,0.55,0.75,0.25,edge,6,3.5,4.0,True,0.046214530721283564,0.07108623369994582,-0.049743405957324516,41,0.24390243902439024,1.4197086438882736
0.25,0.6,0.7,0.2,mid,8,3.0,4.0,True,0.043065534302527186,0.07818136022492461,-0.07023165184479485,51,0.2549019607843137,1.3848401581656358
0.25,0.6,0.7,0.2,mid,8,3.5,4.0,True,0.043065534302527186,0.07818136022492461,-0.07023165184479485,51,0.2549019607843137,1.3848401581656358
0.25,0.6,0.7,0.2,edge,6,3.5,4.0,True,0.0404377442370395,0.06457176769995754,-0.04826804692583608,24,0.2916666666666667,1.7685014050915726
0.25,0.6,0.7,0.2,edge,6,3.0,4.0,True,0.0404377442370395,0.06457176769995754,-0.04826804692583608,24,0.2916666666666667,1.7685014050915726
0.25,0.6,0.7,0.25,mid,8,3.5,4.0,True,0.03930150464705462,0.07426098689991423,-0.06991896450571922,51,0.2549019607843137,1.3666564651179993
0.25,0.6,0.7,0.25,mid,8,3.0,4.0,True,0.03930150464705462,0.07426098689991423,-0.06991896450571922,51,0.2549019607843137,1.3666564651179993
0.25,0.6,0.7,0.25,edge,6,3.0,4.0,True,0.03839730335434083,0.062248946549953166,-0.047703286391224675,24,0.2916666666666667,1.7429671419963648
0.25,0.6,0.7,0.25,edge,6,3.5,4.0,True,0.03839730335434083,0.062248946549953166,-0.047703286391224675,24,0.2916666666666667,1.7429671419963648
0.25,0.55,0.7,0.2,mid,6,3.0,4.5,True,0.037659761149464455,0.07331128774992801,-0.07130305320092711,62,0.25806451612903225,1.3118566735431934
0.25,0.55,0.7,0.2,mid,6,3.5,4.5,True,0.037659761149464455,0.07331128774992801,-0.07130305320092711,62,0.25806451612903225,1.3118566735431934
0.3,0.55,0.75,0.2,mid,6,3.0,4.5,True,0.03589139208682063,0.07395971059991435,-0.07613663702618745,72,0.2361111111111111,1.2526486177181693
0.3,0.55,0.75,0.2,mid,6,3.5,4.5,True,0.03589139208682063,0.07395971059991435,-0.07613663702618745,72,0.2361111111111111,1.2526486177181693
0.25,0.55,0.7,0.25,mid,6,3.5,4.5,True,0.03353033005756939,0.06889567332491797,-0.07073068653469716,62,0.25806451612903225,1.293957035341963
0.25,0.55,0.7,0.25,mid,6,3.0,4.5,True,0.03353033005756939,0.06889567332491797,-0.07073068653469716,62,0.25806451612903225,1.293957035341963
0.25,0.6,0.75,0.2,mid,6,3.0,4.0,True,0.0334598371669213,0.07319329774991634,-0.07946692116599008,56,0.23214285714285715,1.311653204588884
0.25,0.6,0.75,0.2,mid,6,3.5,4.0,True,0.0334598371669213,0.07319329774991634,-0.07946692116599008,56,0.23214285714285715,1.311653204588884
0.3,0.55,0.75,0.2,edge,8,3.0,4.0,True,0.03264916605924495,0.06177899529992614,-0.058259658481362386,53,0.22641509433962265,1.2783694901957763
0.3,0.55,0.75,0.2,edge,8,3.5,4.0,True,0.03264916605924495,0.06177899529992614,-0.058259658481362386,53,0.22641509433962265,1.2783694901957763
0.3,0.55,0.75,0.2,edge,6,3.5,4.5,True,0.032608874712425295,0.06255175634996091,-0.059885763275071224,39,0.23076923076923078,1.3839062021111483
0.3,0.55,0.75,0.2,edge,6,3.0,4.5,True,0.032608874712425295,0.06255175634996091,-0.059885763275071224,39,0.23076923076923078,1.3839062021111483
0.3,0.55,0.75,0.25,mid,6,3.0,4.5,True,0.03138451861770469,0.0691684655749012,-0.075567893914393,72,0.2361111111111111,1.23714882864511
0.3,0.55,0.75,0.25,mid,6,3.5,4.5,True,0.03138451861770469,0.0691684655749012,-0.075567893914393,72,0.2361111111111111,1.23714882864511
0.3,0.55,0.75,0.25,edge,6,3.5,4.5,True,0.029809850800738225,0.059721843599953583,-0.05982398559843072,39,0.23076923076923078,1.3674956593865268
0.3,0.55,0.75,0.25,edge,6,3.0,4.5,True,0.029809850800738225,0.059721843599953583,-0.05982398559843072,39,0.23076923076923078,1.3674956593865268
0.25,0.6,0.75,0.25,mid,6,3.5,4.0,True,0.029386071865724395,0.06905717672490375,-0.0793422097183587,56,0.23214285714285715,1.2950601664319776
0.25,0.6,0.75,0.25,mid,6,3.0,4.0,True,0.029386071865724395,0.06905717672490375,-0.0793422097183587,56,0.23214285714285715,1.2950601664319776
0.3,0.55,0.75,0.25,edge,8,3.5,4.0,True,0.02846132811362051,0.057853687299916245,-0.05878471837259147,53,0.22641509433962265,1.261595623691729
0.3,0.55,0.75,0.25,edge,8,3.0,4.0,True,0.02846132811362051,0.057853687299916245,-0.05878471837259147,53,0.22641509433962265,1.261595623691729
0.25,0.6,0.7,0.2,mid,6,3.5,4.5,True,0.027717641864313747,0.05448442009994814,-0.053533556471268784,39,0.2564102564102564,1.3466719197238204
0.25,0.6,0.7,0.2,mid,6,3.0,4.5,True,0.027717641864313747,0.05448442009994814,-0.053533556471268784,39,0.2564102564102564,1.3466719197238204
0.25,0.6,0.7,0.25,mid,6,3.0,4.5,True,0.024904760010067195,0.05154922747494073,-0.05328893492974707,39,0.2564102564102564,1.3288446476751337
0.25,0.6,0.7,0.25,mid,6,3.5,4.5,True,0.024904760010067195,0.05154922747494073,-0.05328893492974707,39,0.2564102564102564,1.3288446476751337
0.25,0.55,0.7,0.2,mid,6,3.0,4.0,True,0.02457054522445623,0.06022207182491979,-0.07130305320092711,65,0.24615384615384617,1.2441315407128204
0.25,0.55,0.7,0.2,mid,6,3.5,4.0,True,0.02457054522445623,0.06022207182491979,-0.07130305320092711,65,0.24615384615384617,1.2441315407128204
0.3,0.55,0.75,0.2,mid,6,3.5,4.0,True,0.02307698901181382,0.061145307524907544,-0.07613663702618745,74,0.22972972972972974,1.2012592371650563
0.3,0.55,0.75,0.2,mid,6,3.0,4.0,True,0.02307698901181382,0.061145307524907544,-0.07613663702618745,74,0.22972972972972974,1.2012592371650563
0.25,0.55,0.7,0.25,mid,6,3.5,4.0,True,0.02056122165756108,0.05592656492490966,-0.07073068653469716,65,0.24615384615384617,1.227445885833764
0.25,0.55,0.7,0.25,mid,6,3.0,4.0,True,0.02056122165756108,0.05592656492490966,-0.07073068653469716,65,0.24615384615384617,1.227445885833764
0.3,0.55,0.75,0.2,edge,8,3.5,4.5,True,0.020333683598109664,0.049143339099950056,-0.057619311003680784,47,0.2127659574468085,1.2494318983827608
0.3,0.55,0.75,0.2,edge,8,3.0,4.5,True,0.020333683598109664,0.049143339099950056,-0.057619311003680784,47,0.2127659574468085,1.2494318983827608
0.3,0.55,0.75,0.25,mid,6,3.0,4.0,True,0.01867979041769724,0.05646373737489374,-0.075567893914393,74,0.22972972972972974,1.1865515826312445
0.3,0.55,0.75,0.25,mid,6,3.5,4.0,True,0.01867979041769724,0.05646373737489374,-0.075567893914393,74,0.22972972972972974,1.1865515826312445
0.3,0.55,0.75,0.25,edge,8,3.0,4.5,True,0.017243295337133147,0.04614880524994147,-0.05781101982561665,47,0.2127659574468085,1.2349151857495986
0.3,0.55,0.75,0.25,edge,8,3.5,4.5,True,0.017243295337133147,0.04614880524994147,-0.05781101982561665,47,0.2127659574468085,1.2349151857495986
0.3,0.6,0.75,0.2,mid,8,3.5,4.0,True,0.01704452350102975,0.06282793612491666,-0.09156682524777382,59,0.22033898305084745,1.250509062559724
0.3,0.6,0.75,0.2,mid,8,3.0,4.0,True,0.01704452350102975,0.06282793612491666,-0.09156682524777382,59,0.22033898305084745,1.250509062559724
0.3,0.6,0.7,0.2,edge,8,3.5,4.5,True,0.014767420187054126,0.03890144364997217,-0.04826804692583608,20,0.25,1.5405319858018265
0.3,0.6,0.7,0.2,edge,8,3.0,4.5,True,0.014767420187054126,0.03890144364997217,-0.04826804692583608,20,0.25,1.5405319858018265
0.3,0.6,0.75,0.2,mid,8,3.5,4.5,True,0.014324786286177615,0.05464213969992837,-0.08063470682750151,56,0.21428571428571427,1.2284872106158118
0.3,0.6,0.75,0.2,mid,8,3.0,4.5,True,0.014324786286177615,0.05464213969992837,-0.08063470682750151,56,0.21428571428571427,1.2284872106158118
0.3,0.6,0.7,0.25,edge,8,3.0,4.5,True,0.01350613735435574,0.03735778054996808,-0.047703286391224675,20,0.25,1.5202383483801867
0.3,0.6,0.7,0.25,edge,8,3.5,4.5,True,0.01350613735435574,0.03735778054996808,-0.047703286391224675,20,0.25,1.5202383483801867
0.3,0.6,0.75,0.25,mid,8,3.5,4.0,True,0.013196229933564396,0.05893614374990519,-0.09147982763268159,59,0.22033898305084745,1.2357642807675475
0.3,0.6,0.75,0.25,mid,8,3.0,4.0,True,0.013196229933564396,0.05893614374990519,-0.09147982763268159,59,0.22033898305084745,1.2357642807675475
0.3,0.6,0.75,0.25,mid,8,3.5,4.5,True,0.010999244589806279,0.05129801857491678,-0.080597547970221,56,0.21428571428571427,1.2151674025464514
