min_gap,rr_target,fib_lower,fib_upper,session_start_hour_utc,session_end_hour_utc,risk_pct,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.3,2.5,0.618,0.79,8,20,0.0075,-0.4630738258491455,-0.2632361146382598,-0.39967542242177145,308,0.2824675324675325,0.8428780900075172
0.1,2.5,0.5,0.79,7,19,0.01,-0.4634291523680992,-0.2723888201262288,-0.3820806644837408,474,0.29535864978902954,0.9099181330428417
0.2,2.5,0.618,0.79,8,20,0.0075,-0.4658427141168025,-0.2649314519257593,-0.40182252438208643,315,0.28253968253968254,0.8434165797093908
0.1,2.5,0.5,0.79,8,19,0.01,-0.469913564857465,-0.26635394498870546,-0.40711923973751907,442,0.29411764705882354,0.9111864198155731
0.2,2.5,0.618,0.79,8,19,0.0075,-0.4700288151954544,-0.2679069230257052,-0.4042437843394985,291,0.27835051546391754,0.8291947286308204
0.2,3.0,0.5,0.79,7,20,0.005,-0.4710991051877869,-0.29574485700060016,-0.3507084963743735,463,0.23542116630669546,0.8134308449999644
0.3,2.0,0.618,0.79,7,19,0.0075,-0.4714070289540532,-0.2832851938508125,-0.3762436702064813,324,0.3271604938271605,0.8199712203904681
0.2,3.0,0.5,0.79,7,19,0.005,-0.47233961551448367,-0.2938362928255517,-0.357006645377864,430,0.23255813953488372,0.7963293858802999
0.3,2.5,0.5,0.79,8,19,0.01,-0.4727618924070191,-0.2545614315761183,-0.43640092166180156,422,0.2938388625592417,0.9114239154395297
0.1,2.0,0.5,0.79,7,19,0.0075,-0.4731028569694948,-0.27727484005099967,-0.3916560338369902,532,0.3383458646616541,0.8821452236139994
0.3,2.5,0.618,0.79,8,19,0.0075,-0.4762759899035048,-0.27261684737570935,-0.40731828505559087,285,0.2771929824561403,0.8244466382877629
0.2,2.5,0.5,0.79,7,20,0.01,-0.47947302170369593,-0.28424481203880847,-0.39045641932977493,501,0.2954091816367265,0.9138126068797846
0.1,2.5,0.618,0.79,7,19,0.0075,-0.480088830548036,-0.28208728196330757,-0.3960030971694569,327,0.28134556574923547,0.8341210279589178
0.2,3.0,0.618,0.79,8,19,0.0075,-0.4808391771497213,-0.27497214715068097,-0.41173405999808066,285,0.24210526315789474,0.8241546190516149
0.2,2.5,0.5,0.79,8,20,0.01,-0.4811789108951333,-0.2626750249387887,-0.43700777191268925,470,0.2957446808510638,0.9210933068074751
0.1,2.0,0.5,0.79,8,19,0.0075,-0.48634421288432295,-0.29956692442594246,-0.37355457691676097,492,0.3333333333333333,0.8677921978800429
0.3,3.0,0.618,0.79,8,19,0.0075,-0.48745183620818394,-0.2849970808506693,-0.40490951071502923,279,0.24014336917562723,0.8114645609741074
0.1,3.0,0.618,0.79,7,19,0.0075,-0.48929319760581386,-0.28871643087576915,-0.4011535334600894,322,0.2453416149068323,0.8284600514930875
0.1,2.0,0.618,0.79,8,20,0.01,-0.4902911013945809,-0.2813634569010859,-0.41785528898699,339,0.3421828908554572,0.8688942333927625
0.3,2.5,0.5,0.79,7,19,0.01,-0.49669286797296547,-0.28963073282613017,-0.4141242702936706,449,0.29175946547884185,0.8989795670672015
0.2,2.0,0.5,0.79,8,19,0.0075,-0.5049462737648858,-0.31242200760089134,-0.38504853232798897,481,0.3305613305613306,0.8579123283979831
0.2,2.5,0.618,0.79,7,20,0.0075,-0.5106793078570897,-0.3036194802383202,-0.4141196552375389,343,0.27988338192419826,0.8289806991367895
0.1,3.0,0.618,0.79,7,20,0.0075,-0.5132227058746834,-0.3035850598008062,-0.4192752921477544,342,0.24561403508771928,0.8321605779749012
0.2,2.0,0.5,0.79,7,19,0.0075,-0.5132795841671353,-0.3081249870509516,-0.41030919423236734,519,0.3333333333333333,0.8642128217198486
0.1,2.0,0.618,0.79,7,20,0.01,-0.5133027939392728,-0.30244294652615566,-0.4217196948262343,371,0.3423180592991914,0.864971166376341
0.2,2.5,0.618,0.79,7,19,0.0075,-0.5146989824157879,-0.3064490619382667,-0.41649984095504244,319,0.27586206896551724,0.815116315045673
0.3,2.5,0.618,0.79,7,20,0.0075,-0.5170009435765264,-0.308330493625812,-0.41734089990142886,334,0.27844311377245506,0.8245462614704543
0.1,2.0,0.5,0.79,7,20,0.01,-0.5223161589103469,-0.2847766997513703,-0.4750789183179531,576,0.3472222222222222,0.9128460670620577
