min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.3,0.6,0.65,0.25,edge,8,3.0,4.5,-0.029285872354653242,-0.005433067000032654,-0.047705610709241175,15,0.2,0.9102164644757043
0.3,0.6,0.65,0.25,edge,8,3.0,4.0,-0.029285872354653242,-0.005433067000032654,-0.047705610709241175,15,0.2,0.9102164644757043
0.3,0.6,0.7,0.2,edge,8,3.0,4.0,-0.02987838645909896,0.020770463849946186,-0.10129770061809029,27,0.2222222222222222,1.195708110694015
0.3,0.6,0.7,0.2,edge,8,3.0,4.5,-0.02987838645909896,0.020770463849946186,-0.10129770061809029,27,0.2222222222222222,1.195708110694015
0.3,0.6,0.7,0.25,edge,8,3.0,4.5,-0.030676882508433645,0.018938518599939336,-0.09923080221674596,27,0.2222222222222222,1.1790502711359516
0.3,0.6,0.7,0.25,edge,8,3.0,4.0,-0.030676882508433645,0.018938518599939336,-0.09923080221674596,27,0.2222222222222222,1.1790502711359516
0.25,0.55,0.65,0.2,edge,8,3.5,4.0,-0.036274847725471404,0.00026328004994491394,-0.07307625555083264,37,0.21621621621621623,1.0018403583078597
0.25,0.55,0.65,0.2,edge,8,3.5,4.5,-0.036274847725471404,0.00026328004994491394,-0.07307625555083264,37,0.21621621621621623,1.0018403583078597
0.3,0.55,0.65,0.2,mid,6,3.5,4.5,-0.03691263158533209,-0.0036811388000600465,-0.06646298557054409,54,0.2222222222222222,0.9833312557995367
0.3,0.55,0.65,0.2,mid,6,3.5,4.0,-0.03691263158533209,-0.0036811388000600465,-0.06646298557054409,54,0.2222222222222222,0.9833312557995367
0.3,0.55,0.65,0.2,mid,6,3.0,4.5,-0.03691263158533209,-0.0036811388000600465,-0.06646298557054409,54,0.2222222222222222,0.9833312557995367
0.3,0.55,0.65,0.2,mid,6,3.0,4.0,-0.03691263158533209,-0.0036811388000600465,-0.06646298557054409,54,0.2222222222222222,0.9833312557995367
